FIPS Code,State,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Bachelor's degree or higher, 2015-19","Some college or associate's degree, 2015-19","High school diploma only, 2015-19","Less than a high school diploma, 2015-19"
0,US,26.956844329833984,26.956844329833984,11.998917579650879,70920162.0,63756905.0,59472748.0,26472261.0
1000,AL,30.800268173217773,30.800268173217773,13.81930160522461,845772.0,993344.0,1022839.0,458922.0
1001,AL,33.58845901489258,33.58845901489258,11.483394622802734,9929.0,10596.0,12551.0,4291.0
1003,AL,27.659616470336914,27.659616470336914,9.193842887878418,48148.0,47274.0,41797.0,13893.0
1005,AL,35.60454177856445,35.60454177856445,26.786907196044922,2080.0,4676.0,6396.0,4812.0
1007,AL,44.8787727355957,44.8787727355957,20.942602157592773,1678.0,3848.0,7256.0,3386.0
1009,AL,33.4221305847168,33.4221305847168,19.509437561035156,5210.0,13519.0,13299.0,7763.0
1011,AL,40.27601623535156,40.27601623535156,25.320377349853516,856.0,1587.0,2860.0,1798.0
1013,AL,45.184165954589844,45.184165954589844,14.950430870056152,2230.0,3279.0,6244.0,2066.0
1015,AL,32.79061508178711,32.79061508178711,15.567325592041016,14620.0,26233.0,25940.0,12315.0
1017,AL,36.73546600341797,36.73546600341797,18.37824249267578,3163.0,7515.0,8739.0,4372.0
1019,AL,40.256439208984375,40.256439208984375,18.427465438842773,2407.0,5391.0,7598.0,3478.0
1021,AL,44.42521286010742,44.42521286010742,18.218730926513672,3823.0,7401.0,13348.0,5474.0
1023,AL,37.67820739746094,37.67820739746094,18.61935806274414,1113.0,2964.0,3515.0,1737.0
1025,AL,41.771018981933594,41.771018981933594,19.43351173400879,2050.0,4456.0,7005.0,3259.0
1027,AL,37.81583786010742,37.81583786010742,23.311132431030273,999.0,2678.0,3577.0,2205.0
1029,AL,37.97347640991211,37.97347640991211,20.971281051635742,1616.0,2687.0,3980.0,2198.0
1031,AL,27.243362426757812,27.243362426757812,14.073612213134766,8044.0,12667.0,9615.0,4967.0
1033,AL,37.83464813232422,37.83464813232422,14.843810081481934,7070.0,11366.0,14740.0,5783.0
1035,AL,51.12645721435547,51.12645721435547,15.668516159057617,1128.0,1805.0,4516.0,1384.0
1037,AL,40.283329010009766,40.283329010009766,20.002422332763672,1059.0,2221.0,3327.0,1652.0
1039,AL,37.30056381225586,37.30056381225586,16.58562469482422,4020.0,8119.0,9819.0,4366.0
1041,AL,39.52528381347656,39.52528381347656,20.80495262145996,1687.0,2157.0,3830.0,2016.0
1043,AL,34.0713005065918,34.0713005065918,18.44576072692871,8004.0,19406.0,19668.0,10648.0
1045,AL,32.28684997558594,32.28684997558594,13.879853248596191,6078.0,11961.0,10819.0,4651.0
1047,AL,35.91984558105469,35.91984558105469,18.1564884185791,3854.0,8178.0,9411.0,4757.0
1049,AL,34.23838424682617,34.23838424682617,25.155241012573242,6246.0,13241.0,16431.0,12072.0
1051,AL,32.50316619873047,32.50316619873047,13.37600040435791,14060.0,16298.0,18232.0,7503.0
1053,AL,43.729454040527344,43.729454040527344,18.86383819580078,3224.0,6449.0,11308.0,4878.0
1055,AL,32.85762023925781,32.85762023925781,15.447300910949707,12815.0,24422.0,23668.0,11127.0
1057,AL,41.26943588256836,41.26943588256836,17.40133285522461,1451.0,3387.0,4831.0,2037.0
1059,AL,36.5678825378418,36.5678825378418,22.798999786376953,2907.0,5539.0,7601.0,4739.0
1061,AL,35.980709075927734,35.980709075927734,19.678457260131836,2331.0,5943.0,6714.0,3672.0
1063,AL,38.615570068359375,38.615570068359375,20.78370475769043,586.0,1766.0,2237.0,1204.0
1065,AL,43.372642517089844,43.372642517089844,15.996371269226074,1411.0,2620.0,4303.0,1587.0
1067,AL,32.55259704589844,32.55259704589844,20.619657516479492,2076.0,3622.0,3961.0,2509.0
1069,AL,31.244199752807617,31.244199752807617,13.95587158203125,15672.0,23893.0,22558.0,10076.0
1071,AL,41.02002716064453,41.02002716064453,16.80586051940918,5175.0,10429.0,15177.0,6218.0
1073,AL,26.378620147705078,26.378620147705078,9.935452461242676,150124.0,136299.0,118636.0,44684.0
1075,AL,39.76822280883789,39.76822280883789,17.657821655273438,1174.0,3014.0,3912.0,1737.0
1077,AL,35.960445404052734,35.960445404052734,12.618306159973145,14948.0,17759.0,22873.0,8026.0
1079,AL,41.198421478271484,41.198421478271484,20.69571876525879,2930.0,5954.0,9605.0,4825.0
1081,AL,23.72469139099121,23.72469139099121,9.117510795593262,34273.0,30907.0,23026.0,8849.0
1083,AL,30.396408081054688,30.396408081054688,15.313457489013672,16971.0,18829.0,20044.0,10098.0
1085,AL,39.648826599121094,39.648826599121094,21.651090621948242,1037.0,1696.0,2800.0,1529.0
1087,AL,30.191972732543945,30.191972732543945,18.199949264526367,2450.0,3760.0,3633.0,2190.0
1089,AL,20.635292053222656,20.635292053222656,8.29916000366211,105935.0,70137.0,51126.0,20562.0
1091,AL,37.96211242675781,37.96211242675781,16.177818298339844,2109.0,3895.0,4970.0,2118.0
1093,AL,34.82512283325195,34.82512283325195,20.425912857055664,2715.0,6804.0,7408.0,4345.0
1095,AL,31.146900177001953,31.146900177001953,18.38949203491211,12387.0,19887.0,19920.0,11761.0
1097,AL,33.967750549316406,33.967750549316406,13.533306121826172,64689.0,81698.0,94715.0,37736.0
1099,AL,47.23468017578125,47.23468017578125,14.35657024383545,1983.0,3670.0,6952.0,2113.0
1101,AL,25.003652572631836,25.003652572631836,13.268247604370117,50254.0,42690.0,37648.0,19978.0
1103,AL,30.40204620361328,30.40204620361328,15.927884101867676,18476.0,25790.0,25075.0,13137.0
1105,AL,36.91993713378906,36.91993713378906,17.16811180114746,1340.0,1361.0,2172.0,1010.0
1107,AL,37.17144012451172,37.17144012451172,18.489133834838867,2047.0,4380.0,5388.0,2680.0
1109,AL,35.74981689453125,35.74981689453125,15.032646179199219,4580.0,4918.0,6899.0,2901.0
1111,AL,34.87575912475586,34.87575912475586,20.366378784179688,2607.0,4454.0,5502.0,3213.0
1113,AL,31.441417694091797,31.441417694091797,16.17934226989746,6937.0,13449.0,12237.0,6297.0
1115,AL,35.57078552246094,35.57078552246094,15.446730613708496,9880.0,20207.0,21849.0,9488.0
1117,AL,19.827817916870117,19.827817916870117,7.328763008117676,62431.0,43503.0,28835.0,10658.0
1119,AL,35.36103057861328,35.36103057861328,13.303659439086914,1744.0,2408.0,2860.0,1076.0
1121,AL,33.72028732299805,33.72028732299805,19.670316696166992,8377.0,17721.0,18881.0,11014.0
1123,AL,32.70659637451172,32.70659637451172,19.34628677368164,5287.0,8458.0,9376.0,5546.0
1125,AL,29.893999099731445,29.893999099731445,11.650755882263184,39660.0,35780.0,38580.0,15036.0
1127,AL,37.506141662597656,37.506141662597656,18.17917823791504,5080.0,14765.0,16796.0,8141.0
1129,AL,43.06363296508789,43.06363296508789,17.371761322021484,1437.0,3052.0,4886.0,1971.0
1131,AL,39.471466064453125,39.471466064453125,23.545122146606445,889.0,1742.0,2808.0,1675.0
1133,AL,38.21403503417969,38.21403503417969,21.187923431396484,2201.0,4764.0,6556.0,3635.0
2000,AK,28.00372886657715,28.00372886657715,7.1529340744018555,142019.0,169609.0,134582.0,34376.0
2010,AK,,,,,,,
2013,AK,43.46330261230469,43.46330261230469,14.525994300842285,301.0,798.0,1137.0,380.0
2016,AK,39.03561782836914,39.03561782836914,10.54034423828125,703.0,1378.0,1611.0,435.0
2020,AK,23.420024871826172,23.420024871826172,6.098400115966797,69282.0,65951.0,44936.0,11701.0
2050,AK,46.42383575439453,46.42383575439453,19.089889526367188,1164.0,2216.0,4550.0,1871.0
2060,AK,37.00787353515625,37.00787353515625,5.984251976013184,143.0,219.0,235.0,38.0
2068,AK,25.99877166748047,25.99877166748047,1.536570429801941,668.0,511.0,423.0,25.0
2070,AK,37.23661422729492,37.23661422729492,13.678756713867188,639.0,782.0,1078.0,396.0
2090,AK,22.625553131103516,22.625553131103516,5.507227420806885,19402.0,25045.0,13993.0,3406.0
2100,AK,30.16216278076172,30.16216278076172,2.4864864349365234,625.0,621.0,558.0,46.0
2105,AK,38.51548767089844,38.51548767089844,6.253653049468994,365.0,580.0,659.0,107.0
2110,AK,21.60808563232422,21.60808563232422,3.625725746154785,8666.0,8202.0,4875.0,818.0
2122,AK,31.246463775634766,31.246463775634766,7.323313236236572,9995.0,14977.0,12702.0,2977.0
2130,AK,29.703380584716797,29.703380584716797,7.228790760040283,2437.0,3644.0,2864.0,697.0
2150,AK,29.695545196533203,29.695545196533203,10.2081937789917,2501.0,2868.0,2653.0,912.0
2158,AK,56.00997543334961,56.00997543334961,21.122194290161133,157.0,760.0,2246.0,847.0
2160,AK,,,,,,,
2164,AK,44.22657775878906,44.22657775878906,11.98257064819336,148.0,254.0,406.0,110.0
2170,AK,33.075706481933594,33.075706481933594,7.051301002502441,14725.0,26100.0,22553.0,4808.0
2180,AK,41.12318801879883,41.12318801879883,15.434782981872559,891.0,1507.0,2270.0,852.0
2185,AK,42.966949462890625,42.966949462890625,10.269023895263672,1075.0,1967.0,2795.0,668.0
2188,AK,46.66191482543945,46.66191482543945,17.46257972717285,557.0,953.0,1964.0,735.0
2195,AK,31.70842742919922,31.70842742919922,10.34168529510498,623.0,649.0,696.0,227.0
2198,AK,37.89544677734375,37.89544677734375,9.199012756347656,814.0,1544.0,1689.0,410.0
2201,AK,,,,,,,
2220,AK,27.383665084838867,27.383665084838867,5.287992000579834,2051.0,2087.0,1683.0,325.0
2230,AK,29.18108367919922,29.18108367919922,5.305651664733887,257.0,311.0,253.0,46.0
2231,AK,,,,,,,
2232,AK,,,,,,,
2240,AK,34.21868133544922,34.21868133544922,10.137228965759277,890.0,1624.0,1546.0,458.0
2250,AK,,,,,,,
2261,AK,30.817901611328125,30.817901611328125,4.629629611968994,1998.0,2185.0,1997.0,300.0
2275,AK,35.272727966308594,35.272727966308594,13.454545021057129,374.0,613.0,679.0,259.0
2280,AK,,,,,,,
2282,AK,33.484161376953125,33.484161376953125,8.823529243469238,100.0,155.0,148.0,39.0
2290,AK,40.18012619018555,40.18012619018555,14.032539367675781,468.0,1108.0,1383.0,483.0
4000,AZ,23.858877182006836,23.858877182006836,12.860705375671387,1394526.0,1600240.0,1129129.0,608637.0
4001,AZ,32.2387580871582,32.2387580871582,19.597766876220703,5529.0,16120.0,14491.0,8809.0
4003,AZ,24.103424072265625,24.103424072265625,12.61652946472168,20253.0,35205.0,21124.0,11057.0
4005,AZ,22.038997650146484,22.038997650146484,9.480019569396973,30042.0,26852.0,18310.0,7876.0
4007,AZ,27.854055404663086,27.854055404663086,13.674039840698242,7368.0,15629.0,10955.0,5378.0
4009,AZ,28.722686767578125,28.722686767578125,14.74310302734375,3592.0,9810.0,6809.0,3495.0
4011,AZ,34.711307525634766,34.711307525634766,11.940553665161133,791.0,2332.0,2032.0,699.0
4012,AZ,31.146825790405273,31.146825790405273,23.06110954284668,1928.0,5423.0,5000.0,3702.0
4013,AZ,22.39362335205078,22.39362335205078,12.274147987365723,941317.0,939477.0,644671.0,353350.0
4015,AZ,35.344181060791016,35.344181060791016,13.932609558105469,20505.0,59836.0,55982.0,22068.0
4017,AZ,30.319744110107422,30.319744110107422,16.618221282958984,10758.0,26664.0,21383.0,11720.0
4019,AZ,22.247907638549805,22.247907638549805,11.615518569946289,222733.0,232157.0,153022.0,79892.0
4021,AZ,29.265783309936523,29.265783309936523,14.23302936553955,58470.0,110668.0,87608.0,42607.0
4023,AZ,28.660160064697266,28.660160064697266,23.401132583618164,5987.0,8060.0,8398.0,6857.0
4025,AZ,25.840824127197266,25.840824127197266,8.95071792602539,45341.0,68914.0,45277.0,15683.0
4027,AZ,25.707839965820312,25.707839965820312,26.746959686279297,19912.0,43093.0,34067.0,35444.0
5000,AR,34.03488540649414,34.03488540649414,13.430242538452148,463236.0,593576.0,684659.0,270168.0
5001,AR,38.89559555053711,38.89559555053711,16.091121673583984,1959.0,3633.0,4832.0,1999.0
5003,AR,43.66758346557617,43.66758346557617,16.714969635009766,1703.0,3765.0,6027.0,2307.0
5005,AR,36.30527114868164,36.30527114868164,11.269865989685059,5682.0,10976.0,11536.0,3581.0
5007,AR,29.177663803100586,29.177663803100586,11.418171882629395,58000.0,45308.0,50742.0,19857.0
5009,AR,33.38721466064453,33.38721466064453,12.589000701904297,4193.0,9844.0,8675.0,3271.0
5011,AR,41.289894104003906,41.289894104003906,18.962766647338867,1078.0,1911.0,3105.0,1426.0
5013,AR,44.68657684326172,44.68657684326172,15.765401840209961,424.0,1046.0,1661.0,586.0
5015,AR,35.9359245300293,35.9359245300293,13.721539497375488,4213.0,5781.0,7134.0,2724.0
5017,AR,38.072837829589844,38.072837829589844,19.231287002563477,1182.0,1995.0,2833.0,1431.0
5019,AR,30.187532424926758,30.187532424926758,10.044795036315918,3508.0,4364.0,3976.0,1323.0
5021,AR,41.900238037109375,41.900238037109375,17.529691696166992,1323.0,2947.0,4410.0,1845.0
5023,AR,42.8342170715332,42.8342170715332,14.053388595581055,2906.0,5153.0,8007.0,2627.0
5025,AR,46.552024841308594,46.552024841308594,10.422881126403809,926.0,1526.0,2653.0,594.0
5027,AR,41.71611785888672,41.71611785888672,14.1259126663208,2879.0,3595.0,6116.0,2071.0
5029,AR,43.84923553466797,43.84923553466797,12.950434684753418,2263.0,3995.0,6352.0,1876.0
5031,AR,34.581809997558594,34.581809997558594,10.675134658813477,18091.0,19662.0,23849.0,7362.0
5033,AR,37.279911041259766,37.279911041259766,15.020352363586426,6747.0,13409.0,15753.0,6347.0
5035,AR,34.772499084472656,34.772499084472656,17.38947868347168,5400.0,9414.0,10768.0,5385.0
5037,AR,41.500911712646484,41.500911712646484,16.355424880981445,1661.0,3191.0,4778.0,1883.0
5039,AR,44.06219482421875,44.06219482421875,16.05442237854004,610.0,1442.0,2267.0,826.0
5041,AR,44.60771942138672,44.60771942138672,18.93687629699707,1100.0,1753.0,3491.0,1482.0
5043,AR,35.288570404052734,35.288570404052734,13.086356163024902,2656.0,3364.0,4115.0,1526.0
5045,AR,30.463035583496094,30.463035583496094,8.166707992553711,23183.0,23378.0,23112.0,6196.0
5047,AR,41.02521514892578,41.02521514892578,16.276941299438477,1459.0,3672.0,4930.0,1956.0
5049,AR,35.82646179199219,35.82646179199219,14.405152320861816,1083.0,3322.0,3171.0,1275.0
5051,AR,31.42989158630371,31.42989158630371,10.884743690490723,15464.0,25762.0,22462.0,7779.0
5053,AR,43.789306640625,43.789306640625,9.198113441467285,2380.0,3600.0,5570.0,1170.0
5055,AR,45.86021041870117,45.86021041870117,11.757664680480957,4859.0,7887.0,13792.0,3536.0
5057,AR,36.8204345703125,36.8204345703125,17.38432502746582,2162.0,4400.0,5276.0,2491.0
5059,AR,38.9988899230957,38.9988899230957,14.16869068145752,3227.0,8150.0,9474.0,3442.0
5061,AR,38.389705657958984,38.389705657958984,14.770526885986328,1192.0,2921.0,3371.0,1297.0
5063,AR,37.62041091918945,37.62041091918945,13.979778289794922,4406.0,7753.0,9451.0,3512.0
5065,AR,38.01863479614258,38.01863479614258,16.213830947875977,1332.0,3334.0,3876.0,1653.0
5067,AR,42.483821868896484,42.483821868896484,19.832881927490234,1239.0,3361.0,5186.0,2421.0
5069,AR,38.887939453125,38.887939453125,13.855960845947266,8439.0,13726.0,18240.0,6499.0
5071,AR,40.6520881652832,40.6520881652832,21.112449645996094,2679.0,3982.0,7082.0,3678.0
5073,AR,40.220272064208984,40.220272064208984,20.293697357177734,775.0,1161.0,1972.0,995.0
5075,AR,38.649925231933594,38.649925231933594,15.869623184204102,1730.0,3377.0,4340.0,1782.0
5077,AR,40.3908805847168,40.3908805847168,24.1634578704834,726.0,1668.0,2728.0,1632.0
5079,AR,47.29493713378906,47.29493713378906,18.91603660583496,1004.0,2481.0,4878.0,1951.0
5081,AR,44.651485443115234,44.651485443115234,11.042098045349121,1090.0,2762.0,3882.0,960.0
5083,AR,45.084590911865234,45.084590911865234,13.769678115844727,2043.0,4256.0,6902.0,2108.0
5085,AR,36.68296813964844,36.68296813964844,10.871637344360352,9944.0,15363.0,17701.0,5246.0
5087,AR,43.8590202331543,43.8590202331543,19.357725143432617,1590.0,2522.0,4903.0,2164.0
5089,AR,37.515872955322266,37.515872955322266,13.492063522338867,2151.0,4022.0,4727.0,1700.0
5091,AR,35.308990478515625,35.308990478515625,13.546407699584961,4970.0,10200.0,10473.0,4018.0
5093,AR,38.84627914428711,38.84627914428711,18.850685119628906,3771.0,7757.0,10586.0,5137.0
5095,AR,41.27583312988281,41.27583312988281,21.14467430114746,639.0,1252.0,2077.0,1064.0
5097,AR,36.369075775146484,36.369075775146484,20.203380584716797,902.0,2002.0,2432.0,1351.0
5099,AR,42.99401092529297,42.99401092529297,9.615056037902832,853.0,1917.0,2513.0,562.0
5101,AR,35.38246536254883,35.38246536254883,13.517289161682129,1172.0,1754.0,2026.0,774.0
5103,AR,41.61172103881836,41.61172103881836,13.95604419708252,2370.0,4908.0,6816.0,2286.0
5105,AR,41.6712646484375,41.6712646484375,15.154439926147461,918.0,2213.0,3022.0,1099.0
5107,AR,31.94432830810547,31.94432830810547,19.72664451599121,1653.0,4146.0,3833.0,2367.0
5109,AR,38.073089599609375,38.073089599609375,12.611295700073242,1301.0,2410.0,2865.0,949.0
5111,AR,43.08249282836914,43.08249282836914,19.666093826293945,1804.0,4265.0,7019.0,3204.0
5113,AR,36.54735565185547,36.54735565185547,15.078630447387695,1981.0,4817.0,5136.0,2119.0
5115,AR,35.19172286987305,35.19172286987305,15.520604133605957,9220.0,10742.0,14253.0,6286.0
5117,AR,39.94647216796875,39.94647216796875,16.79491424560547,923.0,1663.0,2388.0,1004.0
5119,AR,25.956928253173828,25.956928253173828,9.648567199707031,91541.0,80241.0,69244.0,25739.0
5121,AR,36.11020278930664,36.11020278930664,17.110857009887695,1694.0,4028.0,4417.0,2093.0
5123,AR,37.618621826171875,37.618621826171875,18.08083152770996,1861.0,6075.0,6739.0,3239.0
5125,AR,31.350664138793945,31.350664138793945,9.3784761428833,22073.0,26944.0,25927.0,7756.0
5127,AR,40.76296615600586,40.76296615600586,20.860122680664062,652.0,2034.0,2853.0,1460.0
5129,AR,40.15190887451172,40.15190887451172,18.246158599853516,689.0,1721.0,2326.0,1057.0
5131,AR,31.038986206054688,31.038986206054688,15.937698364257812,18122.0,26951.0,26385.0,13548.0
5133,AR,37.460227966308594,37.460227966308594,23.488676071166992,1367.0,2806.0,4003.0,2510.0
5135,AR,40.87538146972656,40.87538146972656,16.54038429260254,1261.0,4022.0,5071.0,2052.0
5137,AR,34.87741470336914,34.87741470336914,18.84356689453125,1279.0,2987.0,3215.0,1737.0
5139,AR,35.5303955078125,35.5303955078125,15.054366111755371,5642.0,7583.0,9509.0,4029.0
5141,AR,42.60727310180664,42.60727310180664,14.875357627868652,1777.0,3425.0,5213.0,1820.0
5143,AR,25.72553253173828,25.72553253173828,14.998581886291504,46968.0,36611.0,36273.0,21148.0
5145,AR,39.312828063964844,39.312828063964844,15.60421085357666,10659.0,12382.0,20092.0,7975.0
5147,AR,43.77949523925781,43.77949523925781,18.29686737060547,655.0,1113.0,2041.0,853.0
5149,AR,40.04966354370117,40.04966354370117,21.7976131439209,1858.0,3673.0,5806.0,3160.0
6000,CA,20.487895965576172,20.487895965576172,16.692171096801758,8980726.0,7648680.0,5423462.0,4418675.0
6001,CA,17.56516456604004,17.56516456604004,11.556953430175781,556105.0,275053.0,205980.0,135524.0
6003,CA,28.05194854736328,28.05194854736328,8.831169128417969,266.0,220.0,216.0,68.0
6005,CA,27.469879150390625,27.469879150390625,9.981844902038574,5837.0,13112.0,8322.0,3024.0
6007,CA,22.497610092163086,22.497610092163086,10.754597663879395,40149.0,58310.0,33186.0,15864.0
6009,CA,28.00447654724121,28.00447654724121,9.825528144836426,6384.0,15281.0,9759.0,3424.0
6011,CA,26.219200134277344,26.219200134277344,28.748994827270508,2052.0,4107.0,3586.0,3932.0
6013,CA,17.254674911499023,17.254674911499023,10.533958435058594,333398.0,235034.0,135825.0,82921.0
6015,CA,31.027286529541016,31.027286529541016,19.94502067565918,2907.0,6724.0,6095.0,3918.0
6017,CA,21.26353645324707,21.26353645324707,6.5891642570495605,46995.0,51867.0,29137.0,9029.0
6019,CA,22.71223258972168,22.71223258972168,24.039581298828125,127919.0,193773.0,137213.0,145232.0
6021,CA,27.240821838378906,27.240821838378906,25.168514251708984,2541.0,6002.0,4890.0,4518.0
6023,CA,22.176437377929688,22.176437377929688,9.529216766357422,28123.0,35024.0,20505.0,8811.0
6025,CA,24.319637298583984,24.319637298583984,30.271055221557617,16760.0,33247.0,26782.0,33336.0
6027,CA,28.589820861816406,28.589820861816406,11.420781135559082,3587.0,4334.0,3775.0,1508.0
6029,CA,27.79718780517578,27.79718780517578,25.90484619140625,88094.0,160896.0,149493.0,139316.0
6031,CA,25.278745651245117,25.278745651245117,26.645572662353516,13630.0,31040.0,23488.0,24758.0
6033,CA,30.5195369720459,30.5195369720459,14.224787712097168,7212.0,18441.0,14169.0,6604.0
6035,CA,34.4859619140625,34.4859619140625,16.833959579467773,2928.0,8081.0,7799.0,3807.0
6037,CA,20.610870361328125,20.610870361328125,20.866573333740234,2241079.0,1789308.0,1419449.0,1437059.0
6039,CA,24.919252395629883,24.919252395629883,28.06709861755371,14192.0,31659.0,24303.0,27373.0
6041,CA,10.513489723205566,10.513489723205566,6.7010498046875,113274.0,44352.0,20018.0,12759.0
6043,CA,24.354459762573242,24.354459762573242,9.411678314208984,3348.0,5681.0,3320.0,1283.0
6045,CA,25.043142318725586,25.043142318725586,13.460205078125,15157.0,22974.0,15528.0,8346.0
6047,CA,25.251266479492188,25.251266479492188,30.876375198364258,22118.0,48248.0,40500.0,49522.0
6049,CA,32.997032165527344,32.997032165527344,15.207715034484863,1024.0,2467.0,2224.0,1025.0
6051,CA,24.196636199951172,24.196636199951172,11.433464050292969,2861.0,3529.0,2402.0,1135.0
6053,CA,20.31429100036621,20.31429100036621,28.48317527770996,68106.0,73043.0,56000.0,78519.0
6055,CA,17.789112091064453,17.789112091064453,14.484387397766113,35091.0,31432.0,17473.0,14227.0
6057,CA,18.364473342895508,18.364473342895508,5.639473915100098,28307.0,29450.0,13957.0,4286.0
6059,CA,17.222047805786133,17.222047805786133,14.528754234313965,880086.0,599846.0,373447.0,315045.0
6061,CA,17.978750228881836,17.978750228881836,5.464927673339844,107378.0,99628.0,48614.0,14777.0
6063,CA,26.058429718017578,26.058429718017578,4.89674711227417,3432.0,6565.0,3773.0,709.0
6065,CA,26.854948043823242,26.854948043823242,17.95894432067871,347937.0,512894.0,418902.0,280136.0
6067,CA,22.421396255493164,22.421396255493164,12.27566146850586,317319.0,354374.0,230622.0,126265.0
6069,CA,24.754863739013672,24.754863739013672,19.549257278442383,7686.0,14012.0,9644.0,7616.0
6071,CA,26.302734375,26.302734375,20.008663177490234,283484.0,441645.0,355250.0,270241.0
6073,CA,18.23280906677246,18.23280906677246,12.55384349822998,871782.0,683145.0,409613.0,282031.0
6075,CA,12.051112174987793,12.051112174987793,11.534667015075684,403716.0,127615.0,83795.0,80204.0
6077,CA,28.336631774902344,28.336631774902344,20.717073440551758,87705.0,150446.0,132461.0,96843.0
6079,CA,19.91400909423828,19.91400909423828,8.744181632995605,66812.0,67922.0,37609.0,16514.0
6081,CA,14.857697486877441,14.857697486877441,10.409403800964355,281049.0,130946.0,81909.0,57386.0
6083,CA,17.814403533935547,17.814403533935547,19.05508041381836,93973.0,79694.0,49006.0,52419.0
6085,CA,14.09632396697998,14.09632396697998,11.626058578491211,699520.0,292055.0,188180.0,155203.0
6087,CA,15.518333435058594,15.518333435058594,13.6627779006958,73511.0,53963.0,27933.0,24593.0
6089,CA,25.384906768798828,25.384906768798828,8.91135311126709,28044.0,55087.0,32118.0,11275.0
6091,CA,31.65289306640625,31.65289306640625,7.644628047943115,434.0,1035.0,766.0,185.0
6093,CA,25.4845027923584,25.4845027923584,9.768954277038574,7343.0,13170.0,8074.0,3095.0
6095,CA,23.819637298583984,23.819637298583984,11.570337295532227,81736.0,114484.0,72340.0,35139.0
6097,CA,18.749895095825195,18.749895095825195,11.210250854492188,127582.0,124081.0,67371.0,40280.0
6099,CA,29.32199478149414,29.32199478149414,21.095901489257812,58652.0,111725.0,100758.0,72491.0
